document_id,clean_text,sentiment
1,"If you think of this movie as a nightmare it makes more sense. When you dream, your brain processes deep emotions and fears. Things like guilt, shame, childhood fears (spiders, strangers, water, the woods, etc.) and a lot of times the narrative is confusing and all over the place. This basically sums of the movie.It's hard to review or summarize, but essentially it's a journey into Beau's subconscious. Fear of sex, mommy issues, shut down emotions, and unresolved trauma.I sometimes gauge a movie based on how many times I think about it after I've seen it. For this one, I've been thinking about it all day. There are some really creative, artistic scenes and shots also that keep the viewer interested. Overall it's disjointed and way too long, and definitely not for everyone. 6/10.",Positive
2,"I truly don't know where to start with this one. I've become a fan of director Ari Aster. Hereditary and Midsommar are both great movies in my opinion, even though they're not for everyone. He has shown that his style is very much out there and he just does whatever he wants. I admire that in a filmmaker, so I was eagerly awaiting his next outing, Beau is Afraid. Well, it's now playing in theatres and I think it's Aster's best and worst work to date. There's no denying this film is brilliantly well-made, but the actual presentation (story wise) downright baffled me, in good and bad ways. Here's why I really enjoyed watching it, even though it will never be a film I recommend.Joaquin Phoenix plays Beau, a man with an insane amount of anxiety. On the anniversary of his father's death, he has a plane ticket back home to visit his mother. Things prevent him from making his flight, which in turn leads to him slowly finding his way home anyways. That's the premise in a nutshell, but many other storylines are present as well. From confronting his demons through stage plays, crazy visuals, flashbacks, and some very creative practical effect work, Beau is Afraid is definitely one of the most unique films I've seen in a while. I loved watching this film, but didn't love it as a film overall.The best way I can explain how much I actually liked it is to say that I think it's a 5-star film on a filmmaking level, but about a 2-star film when it comes down to how effective the story is. I was eating up everything this film was giving me. My jaw was on the floor from how they pulled off certain sequences. I just wish the story became more clear by the end. I was very engaged, but even when the film felt like it was delivering answers, they also felt far too vague. The film plays as if it's giving you all the answers, but I was well aware it wasn't. I never felt frustrated while watching it, because I was loving the journey, but afterwards, I really had to think about whether or not the experience was enough for me. It was, but I have to admit it's not a great movie as a whole.Beau is Afriad isn't afraid to go all out in every scene. The studio that made this film (A24) also funded it as one of their most expensive films to date. The budget is used to its fullest potential here and the effort leaps off the screen. It's weird, visually stunning, and Phoenix's lead performance is stellar. Other than those aspects though, I was underwhelmed by the story. Still, if you're a film buff who likes to watch all movies, I recommend it, but to any casual viewer, I would say stay far, far away, it's probably not for you. It's a fantastic film to look at and follow along with, but it's simply not great otherwise in my opinion.",Positive
3,"I think the best way to approach Beau Is Afraid is to consider it as a series of Inception-styled existentialist nightmares that the real-life Beau is experiencing as he is safely ensconced in his comfy apartment in an upscale part of town. Everything that happens in the movie is then figurative, merely how Beau's mind is trying to process and resolve the difficult aspects of his life that may be hidden from his consciousness. The story consists of three nightmares or acts, each with its distinctive theme.In Act 1, Beau lives in his dull but orderly apartment, surrounded by the chaos that happens in his building and the lawlessness in the streets. The theme here is that the world is a dangerous place; Beau feels vulnerable, believes that bad things will happen to him, and his apartment represents his safe inner space, which is fragile as danger is always lurking beyond its four walls.In Act 2, Beau finds himself convalescing in the home of Roger, Grace and their volatile teenage daughter, after an accident. The couple seem inordinately concerned with the welfare of a stranger, yet has placed an ankle bracelet on him. Later, they set their other deranged ward, a combat veteran with PTSD named Jeeves, after him following an incident with their daughter. The theme here is that no one can be trusted. Fleeing from Jeeves, Beau runs into a theatre troupe. During their performance, like a nightmare within a nightmare, we see a story of Beau having a family and subsequently losing them in a natural disaster, only to reunite years later and discover they were never real to begin with. This family represents the life Beau could have had if it were not for his mother's influence on him.In Act 3, Beau finally arrives at his mother's lavish residence but is too late to the funeral. Mona reveals that she is not actually dead and the body in the coffin is that of the housekeeper, whose death she had bought. When Beau tries to stand up to Mona after years of her tyranny, he is banished to the attic where he finds his emaciated opinionated twin and a representation of his late father's genitals. Jeeves bursts in and starts attacking the father, because if the father is rendered impotent, Beau would not have been born. Jeeves is probably a manifestation of Beau's self-destructive tendencies. In the final scene, Beau stands trial accused of being ungrateful to his mother and is executed as she watches. We see him accept his fate and her shedding tears of self-pity when he disappears into the water. The theme here is subjugation; Mona had always put her needs before her son's, and made him neurotic and dependent so that she had control over him. She did not want her child to differentiate from her and become his own person. Beau Is Afraid is the tale of a narcissistic mother who enmeshed her son, hence Beau's demeanour throughout the movie is that of his young and terrified self.It is a big ask for people to sit through three hours of this. I watched it in two halves; I was thoroughly derisive in the first half but I appreciated the overall experience and meaning of the story as the second half progressed. Hence I empathise with the detractors and those who applauded this movie alike. As much as Aster might have been self-indulgent in creating this bloated excursion possibly based on a personal experience, I hope that he found catharsis in doing so. Still, I wouldn't recommend the movie without some forewarning and clues.",Negative
4,"I remember seeing a headline a few weeks ago in which it was claimed that Ari Aster dropped some LSD before a premiere. I don't know if that's true or not, or whether he takes psychedelics at all, but the man walks around with an imagination that is perpetually, creatively tripping. Like a colorful virus, he infects audiences with ""Beau is Afraid"" - a mind-bending journey of a film which I wish many people would see, but could only realistically recommend to a short list of open-minded friends.This behemoth is a lot to digest in one sitting. It's not carried by its characters so much as it is by hypnagogic artillery fire of imaginative sets and set-pieces, most of which have rhyme and reason for existing but some, probably none. The actual plot consists of a paranoid man's surreal, Kafkaesque odyssey to appease his domineering mother. Beau (Joaquin Phoenix) lives in a world where his every decision is governed by assertive women, and every woman leads back to his mother. He's emasculated, directionless, and, as he points out himself, personality-less. The environments around him are nonsense to us. Strangers form theater troupes in the woods, seedy cities are filled with caricatures of real people; anyone's sentence can become a jarring non sequitur at any moment, and no event is guaranteed to be permanent. These depictions are of course exaggerated - but it's hard to separate what is and is not Beau's reality. It's like a strange dream, and the best comparisons I can make are to David Lynch's ""Mulholland Drive"" or Stanley Kubrick's ""Eyes Wide Shut.""But I've only described what this movie is like, and not WHY it is like. Plenty is up for interpretation. At the bottom line, however, is a creative director exploring themes of perceived guilt in awesome, if not totally bonkers ways. Anybody with a narcissistic parent will relate to parts of the film, as well as anyone who is unsure of themselves, or frets over every action (and inaction) they take. I think of Tyrion Lannister's line in ""Game of Thrones,"" defending himself in front of a father who hates him: ""I've been on trial my WHOLE LIFE."" Beau is literally put on trial for his whole life. There are people who feel this way about an extreme mother. I've got to believe Ari's speaking some personal truths here.People who saw it before me had mixed reactions - giddy, disturbed, exhausted, confused. I can empathize with all of these. Though Beau held my attention for the entire 3-hour runtime, his performance is draining. And it should be no surprise that the man behind ""Midsommar,"" ""Hereditary"" and ""The Strange Thing about the Johnsons"" locks this in with a good deal of shock value. His brand includes bringing out emotion through whatever means necessary, and it will turn some people off. My best advice is to give yourself completely to the experience. Don't try to follow the discombobulated world of Beau too closely, or you'll fall off a cliff every time. Sit back, enjoy yourself, and laugh where you can; there's maybe never been a more twisted humorist at work here.7.5/10 for reminding me of the time my dad showed me ""Mulholland Drive"" and I spent a week trying to decipher it.",Positive
5,"The movie lost money because it was too long, the first half of the movie was great , the second half lost me. The scene in the forest and all the imaginary cartoon effects should have been eliminated greatly reducing the cost of the movie, The ending was silly, keeping it realistic would have enhanced the movie compared to what transpired. I would rather have Beau go up to the attic and have the movie end leaving me to guess what was up there, anything would have been better than the nonsense the director came up with.The first half shows what the social decay in America is beginning to look like, that portrayal makes a real horror show..",Negative
6,"What do I even say? I don't know. This movie broke my brain. I'm seriously stuck. It's been two hours and my mind is still racing.Like the headline, much of what I say may sound negative, but I mean it in the best possible way. This movie is indescribably weird, outlandish, absurd and insane. So many times I thought to myself, ""What am I watching?""This is dark comedy at it's finest. It's so messed up. And I was cracking up. Like everything else in this movie, it takes it to the extreme.The directing, cinematography and music work together to fully hypnotize me. It's so creative and imaginative with so many things I've never seen or could possibly imagine.Beau Is Afraid feels like four movies combined into one. That seems like a terrible idea. But each one is amazing. And they all work together. I don't understand how he did it. Ari Aster is clearly way smarter than me.There are long scenes of dialogue but I was fully glued. And there is usually other stuff going on during those scenes, like something funny in the background or interesting details in the set design. It made me even more engaged as I tried to catch everything.In an age where so many movies fail to stand out in any way, Beau Is Afraid stands out in every way. It's not for the faint of heart. I think some people will hate it. But if you've seen Hereditary or Midsommar, you know what you're in for. It's very different from them. But just like those movies, it'll remind you how much a great movie can affect you.(2 viewings, early screening IMAX 4/18/2023, IMAX 4/26/2023)",Positive
7,"A fascinating movie with an exceptional ending, can't tell how much I enjoyed the movie and the ending reminded me of another masterpiece the stranger by Albert Camus... Only this time the mother herself is the judge.The thing that makes this movie precious is that we don't see young directors delivering these kinds of movies specially at this quality. Anyway I'm not a professional when it comes to movies and I'm not sure what to call the genre of Bea is afraid but for sure it's my favorite. The only bothering point is the length of the movie which makes it hard to be watched several times and at the same time it requires you to do so.",Positive
8,"After being so mesmerised by hereditary and midsommar I was really looking forward to seeing this. The acting was really good. Joaquin Phoenix never disappoints with his acting Patti LuPone was phenomenal in her scenes. Even Amy, Ryan and Nathan lane had some great moments, but the first hour of the movie, I was really confused the second hour of the movie, I thought okay maybe they will start to explain a little of what is going on the third hour when it all came together I was even more confused. I left the cinema in total confusion. I really want to like this movie. I neither hate it nor love it.",Positive
9,"Beau is Afraid is going to be hit or miss for a lot of people. It's the type of movie that many will praise and criticize for the exact same reasons. Some will find Ari Aster's visceral, nonstop, in-your-face shock and awe absolutely brilliant. Some will find it grotesque, some hilarious, and some will probably just find it plain monotonous. Regardless of where you land personally, I think fans and haters alike will admit it's easy to understand all of those opinions (and more) on the fever-dream, bad-trip, crisis-coaster that is Beau is Afraid.There are some ideas in this movie that absolutely hit home. The central character, Beau's, downright Fredian psyche is thought provoking and forceful, if not overstated. The movie looks wonderful throughout and showcases phenomenal cinematography. There is also a fantastic black comedy element that I wasn't expecting - both the wry smile kind and laugh out loud type. Beau is Afraid is packed with amusing subtleties that make me want to rewatch the movie just to see what details I missed. On the surface level, this movie considerably richer than Aster's previous two; it feels as though there is so much more to explore here.What falls short for me isn't any one glaring detail, it's the sum of all the film's parts. It's a rambling, full speed ahead journey it that lasts an excruciatingly long three hours (two hours and fifty-nine minutes, to be exact). This ride doesn't feel like a edge of your seat thriller, it feels like a highlight reel of nightmares loosely strung together. Frustrating, inarticulate, and logic resistant. At points it feels like Aster is openly testing the audience's limits and patience, fully leaning into the fact that many won't hang on until the end.Kafka-esque is spot on. Beau is Afraid is largely without a plot; the viewer is forced to most of the legwork if they want to reconcile any sort of direction. This could have worked in a smaller dose, but after the two hour mark you start to wonder why there is still so much movie left. Aster's audience engagement leans heavily on visuals and surprises, and somewhere along the three hour journey you start to wonder if that's quite enough.You don't know what's coming in Beau is Afraid, but as the formula reveals itself you do know that entire movie is about to be turned on its head. Again. And again. And again. Watching the story bounce from one introspective non-sequitur to the next is a rather unrewarding experience. Even though a resounding lack of closure is surely supposed to be a deliberate point of the film, I had to question if I was enjoying it.There's a very good movie in buried somewhere in Beau is Afraid, but it's layered under a heavy, heavy dose of self indulgence. It doesn't need to be so long, or so frenzied, or so indirect. Aster's core message simply isn't as profound as he makes it out to be. But it's a new side of Ari that we've never seen before and, for many, that alone will make it worthwhile experience. And the movie isn't without a good deal of genuinely redeeming qualities that fans of the genre (if you can narrow it down to just one) will surely enjoy. It's a thought provoking, visually stimulating trip that you should really just experience for yourself. Though perhaps on-demand with the fast forward button within reach, just in case.",Positive
10,"Ari Aster still didn't manage to convince me completely. With Midsommar (that I rated a seven) and Hereditary (that I rated a six) he had already some weird ideas for stories so I was curious with what he would come up this time. It started already weird after a couple minutes, enough to set the tone, and it got weirder towards the end. Every time I thought it couldn't get weirder he managed to do so. I have nothing against weird as long as it is entertaining, and it was, mostly due to the good acting from Joaquin Phoenix, but three hours just seemed a bit too long for this story. For that alone the movie loses a point in my ratings.",Negative
